filename,area,perimeter,equivalent_diameter,roundness,roundness_original,ellipticity,solidity,convexity,protrusions
D12_0.000,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
A12_0.000,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
C4_0.971,4458.0,308.17168617248535,75.33990901527129,0.7680371536534494,0.5898810693920922,1.493859022930631,0.8133552271483306,0.8320551519776438,2
C1_0.984,3710.0,218.2587594985962,68.72931478610458,0.9892822213152699,0.9786793134104745,1.1969714174612862,0.9818711128754797,0.9526356274705313,0
B3_0.983,3857.0,222.0298957824707,70.07770632693055,1.0,0.9831880531335603,1.1123553045434718,0.9846821547102375,0.9611005175917938,0
B12_0.000,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
D1_0.985,3409.5,208.9530258178711,65.88710213520199,1.0,0.9813032333867283,1.1144742255921942,0.982564841498559,0.9547834503499094,0
A1_0.979,3609.0,219.04243564605713,67.7873256365023,0.9722324516617841,0.9452359400642832,1.1401112767004926,0.9779162715079257,0.9583348544414869,0
B9_0.984,3573.0,214.8157148361206,67.44838688463007,0.9864052864795645,0.9729953891948315,1.1438016564880404,0.9833493876427687,0.9542015478719071,0
D11_0.883,256.0,65.94886147975922,18.0540666735282,0.8600379438905758,0.7396652649315292,2.2443984574823967,0.9360146252285192,0.9581537561122503,1
B4_0.984,3397.5,208.16607284545898,65.77105254774105,1.0,0.9852567779152146,1.042531101836668,0.9870714700755375,0.9603355044332275,0
B11_0.981,5186.0,277.55550956726074,81.25897045247714,0.9197532594823485,0.8459460583284046,1.3159544871425033,0.9406003446086878,0.9177425161443911,1
A10_0.985,3985.0,226.74119758605957,71.23102965540807,0.986935245361097,0.9740411785359688,1.2008918085000497,0.980319803198032,0.9534351192556488,0
B2_0.985,3703.0,219.0822238922119,68.66444519658124,0.9846335898914846,0.969503306342592,1.0648246122360656,0.9852334707995211,0.9571786655665336,0
A9_0.985,3567.5,213.4822597503662,67.39645447531119,1.0,0.9836718954623007,1.1366876292364112,0.9838665195808053,0.9553640422881684,0
D4_0.983,3532.5,212.36824226379395,67.0650333018404,1.0,0.9842669207541266,1.0304985273582734,0.9850808700501952,0.9562971264183501,0
A3_0.923,3523.0,213.86406326293945,66.97479313967291,0.9838376531946966,0.9679365278436484,1.200048000804887,0.9792911744266852,0.9554956528535327,0
B1_0.984,3558.0,216.72404098510742,67.30665866144084,0.9756651981354876,0.9519225788527602,1.1289540183319136,0.9739939775526965,0.9512019735372552,0
D9_0.983,6407.5,311.1251583099365,90.32321065424189,0.9120404681556963,0.8318178155536617,1.4778613702218357,0.9420716018525326,0.9255525965607091,2
C3_0.984,3658.0,216.51979064941406,68.24595412653578,1.0,0.9805243159025782,1.0146503644763838,0.9867817642298354,0.9602970805189355,0
A2_0.985,3521.0,212.50752925872803,66.95577971327425,0.9898368608224717,0.9797770110428851,1.0485113093746954,0.9831076364651682,0.9546846910946585,0
D10_0.985,4107.5,230.41831588745117,72.31757345209863,0.985999557402921,0.9721951271987562,1.254941297854342,0.9828906436946638,0.9510054942824553,0
D2_0.981,3342.0,213.7738208770752,65.23163771135073,0.9586357813824662,0.9189825613467716,1.1411634984168517,0.9618650165491438,0.9447957974269662,1
C12_0.985,3709.5,217.52252864837646,68.72468327460729,1.0,0.9851826458746996,1.1790670471922216,0.9874883535205644,0.9622441114269692,0
A5_0.986,4361.0,242.721923828125,74.51575440529368,0.964470546888629,0.9302034358156513,1.3014122103862715,0.9739810161920714,0.9511267732840747,0
C9_0.985,3654.5,217.53008842468262,68.2132972098157,0.985143687217746,0.9705080844649763,1.2103188036046886,0.9858376045319666,0.9620765875938779,0
A11_0.986,3813.5,225.75275993347168,69.6814107481152,0.9696918352739676,0.9403022553969952,1.3115632970877404,0.9706032069228812,0.945429844932673,0
D3_0.986,3723.5,218.80855083465576,68.85424783425768,0.9885902463108608,0.9773106751009685,1.1179254869892035,0.980513495720869,0.9492745667659472,0
C10_0.683,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
C11_0.970,4587.5,274.3614459037781,76.42634631769701,0.8751245909988112,0.7658430497708366,1.3330573131938122,0.9403505175771241,0.8663793657675095,1
B10_0.985,3817.5,221.29537296295166,69.71794576740255,0.9897422766399719,0.9795897741684748,1.1415795962403272,0.986816595579682,0.9624055298655623,0
C2_0.984,3338.5,206.86076259613037,65.19747096397482,1.0,0.9804038359641729,1.0332771734413253,0.982200647249191,0.9551528758004167,0
A8_0.981,5035.5,279.702672958374,80.07120410930456,0.8993518150300854,0.808833687197909,1.0767711615082505,0.9329319129226493,0.9307498530036385,2
A4_0.986,3679.5,216.5726556777954,68.44621906908395,1.0,0.9858059322350194,1.0318740177727257,0.9832977017637627,0.9530271218942239,0
