filename,error,area,perimeter,roundness,roundness_original,roundness_equivalent,equivalent_diameter,ellipticity,major_axis,minor_axis,orientation,solidity,convexity,convex_hull_area,protrusions,protrusion_mean_length,protrusion_mean_width,protrusion_length_cv,protrusion_spacing_uniformity
A12_0.000,Unknown format code 'f' for object of type 'str',,,,,,,,,,,,,,,,,,
D12_0.000,Unknown format code 'f' for object of type 'str',,,,,,,,,,,,,,,,,,
C4_0.971,,4458.0,308.17168617248535,0.7680371536534494,0.5898810693920922,0.7680371536534494,75.33990901527129,1.493859022930631,98.7476806640625,66.10240936279297,80.34484100341797,0.8133552271483306,0.8320551519776438,5481.0,2.0,26.024825375155714,18.769371032714844,0.20043067545231094,0.6008221892371591
B2_0.985,,3703.0,219.0822238922119,0.9846335898914846,0.969503306342592,0.9846335898914846,68.66444519658124,1.0648246122360656,70.88076782226562,66.565673828125,79.18634033203125,0.9852334707995211,0.9571786655665336,3758.5,0.0,0.0,0.0,0.0,0.0
C1_0.984,,3710.0,218.2587594985962,0.9892822213152699,0.9786793134104745,0.9892822213152699,68.72931478610458,1.1969714174612862,75.31563568115234,62.92183303833008,76.03307342529297,0.9818711128754797,0.9526356274705313,3778.5,0.0,0.0,0.0,0.0,0.0
B3_0.983,,3857.0,222.0298957824707,0.9915583962296726,0.9831880531335603,0.9915583962296726,70.07770632693055,1.1123553045434718,73.93014526367188,66.46270751953125,66.34427642822266,0.9846821547102375,0.9611005175917938,3917.0,0.0,0.0,0.0,0.0,0.0
D1_0.985,,3409.5,208.9530258178711,0.9906075072331769,0.9813032333867283,0.9906075072331769,65.88710213520199,1.1144742255921942,69.43560791015625,62.303466796875,26.86302947998047,0.982564841498559,0.9547834503499094,3470.0,0.0,0.0,0.0,0.0,0.0
A1_0.979,,3609.0,219.04243564605713,0.9722324516617841,0.9452359400642832,0.9722324516617841,67.7873256365023,1.1401112767004926,72.93455505371094,63.971435546875,148.1565399169922,0.9779162715079257,0.9583348544414869,3690.5,0.0,0.0,0.0,0.0,0.0
B9_0.984,,3573.0,214.8157148361206,0.9864052864795645,0.9729953891948315,0.9864052864795645,67.44838688463007,1.1438016564880404,72.21064758300781,63.13214111328125,76.40520477294922,0.9833493876427687,0.9542015478719071,3633.5,0.0,0.0,0.0,0.0,0.0
D11_0.883,,256.0,65.94886147975922,0.8600379438905758,0.7396652649315292,0.8600379438905758,18.0540666735282,2.2443984574823967,28.341264724731445,12.627554893493652,54.47751998901367,0.9360146252285192,0.9581537561122503,273.5,1.0,2.23606797749979,0.4472135603427887,0.0,0.0
B4_0.984,,3397.5,208.16607284545898,0.9926010164790354,0.9852567779152146,0.9926010164790354,65.77105254774105,1.042531101836668,67.80858612060547,65.04226684570312,104.00304412841797,0.9870714700755375,0.9603355044332275,3442.0,0.0,0.0,0.0,0.0,0.0
B11_0.981,,5186.0,277.55550956726074,0.9197532594823485,0.8459460583284046,0.9197532594823485,81.25897045247714,1.3159544871425033,94.66551208496094,71.936767578125,137.6282501220703,0.9406003446086878,0.9177425161443911,5513.5,1.0,18.681541692269406,12.043975830078125,0.0,0.0
A10_0.985,,3985.0,226.74119758605957,0.986935245361097,0.9740411785359688,0.986935245361097,71.23102965540807,1.2008918085000497,78.24368286132812,65.15464782714844,61.22285842895508,0.980319803198032,0.9534351192556488,4065.0,0.0,0.0,0.0,0.0,0.0
A4_0.986,,3679.5,216.5726556777954,0.9928776018397331,0.9858059322350194,0.9928776018397331,68.44621906908395,1.0318740177727257,69.56037902832031,67.41169738769531,113.15489196777344,0.9832977017637627,0.9530271218942239,3742.0,0.0,0.0,0.0,0.0,0.0
D4_0.983,,3532.5,212.36824226379395,0.9921022733338164,0.9842669207541266,0.9921022733338164,67.0650333018404,1.0304985273582734,68.0878677368164,66.07274627685547,114.83727264404297,0.9850808700501952,0.9562971264183501,3586.0,0.0,0.0,0.0,0.0,0.0
A9_0.985,,3567.5,213.4822597503662,0.9918023469735796,0.9836718954623007,0.9918023469735796,67.39645447531119,1.1366876292364112,72.079833984375,63.412174224853516,103.11397552490234,0.9838665195808053,0.9553640422881684,3626.0,0.0,0.0,0.0,0.0,0.0
A3_0.923,,3523.0,213.86406326293945,0.9838376531946966,0.9679365278436484,0.9838376531946966,66.97479313967291,1.200048000804887,73.89240264892578,61.57453918457031,96.67211151123047,0.9792911744266852,0.9554956528535327,3597.5,0.0,0.0,0.0,0.0,0.0
B1_0.984,,3558.0,216.72404098510742,0.9756651981354876,0.9519225788527602,0.9756651981354876,67.30665866144084,1.1289540183319136,72.19092559814453,63.94496536254883,83.8026351928711,0.9739939775526965,0.9512019735372552,3653.0,0.0,0.0,0.0,0.0,0.0
A2_0.985,,3521.0,212.50752925872803,0.9898368608224717,0.9797770110428851,0.9898368608224717,66.95577971327425,1.0485113093746954,69.00645446777344,65.8137435913086,44.215335845947266,0.9831076364651682,0.9546846910946585,3581.5,0.0,0.0,0.0,0.0,0.0
C3_0.984,,3658.0,216.51979064941406,0.9902142777715226,0.9805243159025782,0.9902142777715226,68.24595412653578,1.0146503644763838,68.7171401977539,67.72494506835938,74.18042755126953,0.9867817642298354,0.9602970805189355,3707.0,0.0,0.0,0.0,0.0,0.0
D9_0.983,,6407.5,311.1251583099365,0.9120404681556963,0.8318178155536617,0.9120404681556963,90.32321065424189,1.4778613702218357,113.39751434326172,76.73081970214844,110.37065124511719,0.9420716018525326,0.9255525965607091,6801.5,2.0,24.971116652307114,10.006930351257324,0.04811110456234601,0.642928888096392
B12_0.000,Unknown format code 'f' for object of type 'str',,,,,,,,,,,,,,,,,,
C10_0.683,Unknown format code 'f' for object of type 'str',,,,,,,,,,,,,,,,,,
D10_0.985,,4107.5,230.41831588745117,0.985999557402921,0.9721951271987562,0.985999557402921,72.31757345209863,1.254941297854342,80.99323272705078,64.53945922851562,40.13892364501953,0.9828906436946638,0.9510054942824553,4179.0,0.0,0.0,0.0,0.0,0.0
D2_0.981,,3342.0,213.7738208770752,0.9586357813824662,0.9189825613467716,0.9586357813824662,65.23163771135073,1.1411634984168517,70.58221435546875,61.851097106933594,125.39637756347656,0.9618650165491438,0.9447957974269662,3474.5,1.0,13.892443989449804,6.524518013000488,0.0,0.0
C9_0.985,,3654.5,217.53008842468262,0.985143687217746,0.9705080844649763,0.985143687217746,68.2132972098157,1.2103188036046886,75.38412475585938,62.28451919555664,58.84877395629883,0.9858376045319666,0.9620765875938779,3707.0,0.0,0.0,0.0,0.0,0.0
C12_0.985,,3709.5,217.52252864837646,0.9925636734611537,0.9851826458746996,0.9925636734611537,68.72468327460729,1.1790670471922216,74.82801055908203,63.4637451171875,112.4045181274414,0.9874883535205644,0.9622441114269692,3756.5,0.0,0.0,0.0,0.0,0.0
C11_0.970,,4587.5,274.3614459037781,0.8751245909988112,0.7658430497708366,0.8751245909988112,76.42634631769701,1.3330573131938122,88.93555450439453,66.7154769897461,5.070956707000732,0.9403505175771241,0.8663793657675095,4878.5,1.0,25.079872407968907,12.0,0.0,0.0
A8_0.981,,5035.5,279.702672958374,0.8993518150300854,0.808833687197909,0.8993518150300854,80.07120410930456,1.0767711615082505,86.7018814086914,80.52024841308594,153.9136505126953,0.9329319129226493,0.9307498530036385,5397.5,2.0,22.593940293667398,14.521897792816162,0.04456536290957229,0.3659785002409175
D3_0.986,,3723.5,218.80855083465576,0.9885902463108608,0.9773106751009685,0.9885902463108608,68.85424783425768,1.1179254869892035,73.0615463256836,65.35457611083984,58.56991195678711,0.980513495720869,0.9492745667659472,3797.5,0.0,0.0,0.0,0.0,0.0
A5_0.986,,4361.0,242.721923828125,0.964470546888629,0.9302034358156513,0.964470546888629,74.51575440529368,1.3014122103862715,86.09371185302734,66.15406799316406,1.5644267797470093,0.9739810161920714,0.9511267732840747,4477.5,0.0,0.0,0.0,0.0,0.0
A11_0.986,,3813.5,225.75275993347168,0.9696918352739676,0.9403022553969952,0.9696918352739676,69.6814107481152,1.3115632970877404,79.85552978515625,60.88576126098633,35.70448684692383,0.9706032069228812,0.945429844932673,3929.0,0.0,0.0,0.0,0.0,0.0
C2_0.984,,3338.5,206.86076259613037,0.9901534406162374,0.9804038359641729,0.9901534406162374,65.19747096397482,1.0332771734413253,66.30239868164062,64.16709899902344,96.13206481933594,0.982200647249191,0.9551528758004167,3399.0,0.0,0.0,0.0,0.0,0.0
B10_0.985,,3817.5,221.29537296295166,0.9897422766399719,0.9795897741684748,0.9897422766399719,69.71794576740255,1.1415795962403272,75.00418853759766,65.70211029052734,61.22923278808594,0.986816595579682,0.9624055298655623,3868.5,0.0,0.0,0.0,0.0,0.0
